Source,Target,Prediction,Meteor,Bleu
"আন্তর্জাতিক সিভিল এভিয়েশন সংস্থা বিমানবন্দরের নিরাপত্তা, র‌্যাঙ্কিং পর্যালোচনা করে থাকে।",The International Civil Aviation Organisation evaluates and ranks airport security systems.,International Civil Aviation Agency (ICAA) reviews the security and ranking of the airports.,0.6182795698924732,0.25318484177091666
আপনার বাহুতে থাকা কন্ট্রোল প্যানেল দ্বারা ঐ জুতাকে অফ করা যাবে।,They can be deactivated using the control panel on your arm.,It can be off-loaded by the control panels sitting in your chair.,0.5245403946702648,0.27524094128159016
আহসানুল হক মোল্লা ব্রিটিশ ভারতের বেঙ্গল প্রেসিডেন্সির (বর্তমান বাংলাদেশ) কুষ্টিয়া জেলার দৌলতপুর উপজেলার তারাগুনিয়া গ্রামে জন্মগ্রহণ করেন।,He was born at Ulail in Dhaka district of Bengal province in British India (now Dhaka District of Bangladesh).,Abrahamul Hazarika was born in Daulatpur village in Aligarh District of West Bengal Presidency of British India (New Bangladesh).,0.5518320964749536,0.31063037209869776
ফুলতলা ইউনিয়ন,Atra Gilatola Union,Pholala Saheb,0.0,0
পাঁচ মেয়ের বাবা পবন।,He is the father of five daughters.,Pawan is the father of five daughters.,0.8737244897959183,0.8451542547285166
কভুও সে পশ্চাতেতে ফিরে নাহি চায়।,She too does not want to go back.,"Obviously, no one wants to return to the West.",0.16304347826086954,0.03726779962499649
"এখন বলুন, যা খুঁজছিলেন সেটা কি পেয়েছেন?","""""""So tell me, have we found what we were looking for?""""""","Now tell me, whatever you were looking for",0.3271604938271605,0.25977093006312163
এতে ঘাবড়ে যাওয়ার কিছু নেই।,There is nothing to be scared of.,There is no need to panic.,0.4708860759493671,0.2676810248362385
মোট চারজনকে সেখান থেকে ধরা হয়।,Four people have been arrested.,Total four persons are being apprehended.,0.4189435336976321,0
এরপরেই আছে ইউরোপিয় ইউনিয়ন।,So is the European Union.,This was followed by the European Union.,0.6401209677419356,0.3779644730092272
"সুতরাং, ব্যঞ্জনবর্ণ সমন্বিত বাইবেলের অর্থ উপলব্ধি করা মুশকিল হয়ে পড়ে।","Hence, the very understanding of the consonantal Biblical text was endangered.",Thus it is difficult to understand the meaning of blended by BBB.,0.15384615384615385,0.03892494720807617
