Source,Target,Prediction,Rouge1,Rouge2,RougeL,RougeLsum,Precision,Recall,F1
वाराणसी में खाद्य सुरक्षा एवं औषधि प्रशासन की लापरवाही से व्यापारियों में नाराजगी देखी जा रही है।,खाद्य व दवा व्यापारियों में नाराजगी, व्यापारियों ने खाद्य सुरक्षा एवं औषधि प्रशासन की लापरवाही से व्यापारियों में नाराजगी देखी जा रही है।</s>,0.3478260869565218,0.19047619047619047,0.3478260869565218,0.3478260869565218,[0.7041939496994019],[0.8189480900764465],[0.7572482228279114]
'मीडिया पर किसी तरह की पाबंदी नहीं' जावड़ेकर ने पीटीआई के पत्रकारों से बातचीत में कहा कि घाटी में मीडिया पर किसी तरह की पाबंदी नहीं है और बिना किसी कठिनाई के अखबारों का प्रकाशन किया जा रहा है।,कश्मीर से अनुच्छेद 370 हटाए जाने पर किलसा विरोध में की तरफ बढ़ा," जावड़ेकर ने कहा, ""हम मीडिया को लेकर आश्वस्त हैं कि हम अपनी जिम्मेदारी से काम करेंगे."" जावड़ेकर ने कहा कि घाटी में मीडिया पर कोई तरह की पाबंदी नहीं है</s>",0.18604651162790697,0.0,0.13953488372093023,0.13953488372093023,[0.6154054999351501],[0.6485885381698608],[0.6315614581108093]
जीवन बीमा कंपनियां अब संशोधित यूनिट लिंक्ड बीमा योजना (यूलिप) के साथ नई परंपरागत योजनाएं लॉन्च कर रही हैं संभव है कि इससे बीमा एजेंटों को ज्यादा कमीशन मिले।,बच्चों और पेंशन से जुड़ी योजना लॉन्च करने से एजेंटों को मिलेगा ज्यादा कमीशन,</s>,0.0,0.0,0.0,0.0,[0.5131503343582153],[0.5097194314002991],[0.5114291310310364]
आने वाले दो महीने में देश का सबसे बड़ा सरकारी बैंक स्टेट बैंक ऑफ इंडिया अपनी चार सर्विसेज में बदलाव करने करने जा रहा है।,"  दिसम्बर के अंत तक SBI की चार सेवाओं में होगा बदलाव, 31 अक्टूबर तक बडी से निकाल लें बची रकम",</s>,0.0,0.0,0.0,0.0,[0.5438960194587708],[0.5272172093391418],[0.5354267358779907]
जम्मू एवं कश्मीर के अनंतनाग जिले में शनिवार को सुरक्षाबलों के साथ मुठभेड़ में दो आतंकवादियों को मार गिराया गया।,जम्मू-कश्मीर : सुरक्षाबलों के साथ मुठभेड़ में 2 आतंकवादी ढेर, सुरक्षाबलों ने मुठभेड़ में दो आतंकवादियों को मार गिराया</s>,0.3157894736842105,0.11764705882352941,0.3157894736842105,0.3157894736842105,[0.761328935623169],[0.7835440039634705],[0.7722766995429993]
बीएस बातचीत सार्वजनिक क्षेत्र के यूको बैंक को पटरी पर आने में अभी कुछ तिमाही लगेंगी।,यूको बैंक नहीं खोना चाहता अपनी पहचान : गोयल, बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का कहना है कि बीबीसी संवाददाता का,0.0,0.0,0.0,0.0,[0.4319232404232025],[0.5374009609222412],[0.4789232909679413]
"चाय और परचून की दुकान खोल रहे हैं गोश्त कारोबारी ► मांस विक्रेताओं के संगठन ने योगी से की मुलाकात ► योगी ने दिया भरोसा, वैध बूचडख़ानों का नहीं होगी दिक्कत उत्तर प्रदेश में अवैध बूचडख़ानों पर सरकारी सख्ती के चलते बीते एक सप्ताह से प्रदेश में हजारों लोग बेरोजगार हो गए, वहीं कुछ ने रोजी-रोटी के लिए नया धंधा शुरू कर दिया है।","उत्तर प्रदेश में कई होटल बंद, हजारों बेरोजगार",</s>,0.0,0.0,0.0,0.0,[0.5090958476066589],[0.5456088185310364],[0.5267202854156494]
याचिका पर इस सप्ताह हो सकती है सुनवाई नगर निगम भूतल के लिए ही जारी कर रहे हैं फैक्टरी लाइसेंस नियम मुताबिक सभी मंजिल पर औद्योगिक गतिविधि की है अनुमति दिल्ली के उद्यमी नगर निगमों द्वारा सभी मंजिलों के बजाय केवल भूतल के लिए ही फैक्टरी लाइसेंस देने के मसले पर अदालत पहुंच गए हैं।,फैक्टरी लाइसेंस पर अदालत पहुंचे उद्यमी,</s>,0.0,0.0,0.0,0.0,[0.5309253931045532],[0.5433198809623718],[0.5370511412620544]
जिला अस्पताल व महिला अस्पताल के अधिकारी चार दिन की बीमार मासूम को भर्ती करने के बजाए एक-दूसरे के अस्पताल में दौड़ाते रहे।,"  समय पर इलाज न मिलने से बच्ची की मौत, अस्पताल के सीएमएस सस्पेंड", अस्पताल के अधिकारी ने महिला अस्पताल के अधिकारी को बताया कि वह चार दिन की बीमार मासूम को भर्ती करने के बजाए एक-दूसरे के अस्पताल में दौड़ाते रहे।</s>,0.14634146341463414,0.05128205128205128,0.0975609756097561,0.0975609756097561,[0.6916583180427551],[0.6868708729743958],[0.6892563104629517]
देश की प्रमुख रीयल्टी कंपनी डीएलएफ की सामाजिक दायित्व इकाई डीएलएफ फाउंडेशन 200 करोड़ रुपये के निवेश से 250 कौशल प्रशिक्षण केंद्र स्थापित करेगी।,कौशल विकास केंद्रों के लिए निवेश करेगी डीएलएफ, डीएलएफ की सामाजिक दायित्व इकाई डीएलएफ फाउंडेशन की सामाजिक जिम्मेदारी इकाई के लिए 250 करोड़ रुपये की राशि आवंटित की गई है।</s>,0.19999999999999998,0.07142857142857142,0.13333333333333333,0.13333333333333333,[0.6533136963844299],[0.7177567481994629],[0.6840207576751709]
