Source,Prediction,Target,Rouge1,Rouge2,RougeL,RougeLsum,Precision,Recall,F1
वाराणसी में खाद्य सुरक्षा एवं औषधि प्रशासन की लापरवाही से व्यापारियों में नाराजगी देखी जा रही है।,वाराणसी में खाद्य सुरक्षा एवं औषधि प्रशासन की लापरवाही से व्यापारियों में नाराजगी देखी जा रही है।,खाद्य व दवा व्यापारियों में नाराजगी,0.3478260869565218,0.19047619047619047,0.3478260869565218,0.3478260869565218,[0.7344026565551758],[0.8439074158668518],[0.7853562831878662]
'मीडिया पर किसी तरह की पाबंदी नहीं' जावड़ेकर ने पीटीआई के पत्रकारों से बातचीत में कहा कि घाटी में मीडिया पर किसी तरह की पाबंदी नहीं है और बिना किसी कठिनाई के अखबारों का प्रकाशन किया जा रहा है।,'मीडिया पर किसी तरह की पाबंदी नहीं' जावड़ेकर ने पीटीआई के पत्रकारों से बातचीत में कहा कि घाटी में मीडिया पर किसी तरह की पाबंदी नहीं है और बिना किसी कठिनाई के अखबारों का प्रकाशन किया जा रहा है।,कश्मीर से अनुच्छेद 370 हटाए जाने पर किलसा विरोध में की तरफ बढ़ा,0.15384615384615385,0.0,0.11538461538461538,0.11538461538461538,[0.6353145837783813],[0.6412065029144287],[0.6382469534873962]
जीवन बीमा कंपनियां अब संशोधित यूनिट लिंक्ड बीमा योजना (यूलिप) के साथ नई परंपरागत योजनाएं लॉन्च कर रही हैं संभव है कि इससे बीमा एजेंटों को ज्यादा कमीशन मिले।,जीवन बीमा कंपनियां अब संशोधित यूनिट लिंक्ड बीमा योजना (यूलिप) के साथ नई परंपरागत योजनाएं लॉन्च कर रही हैं संभव है कि इससे बीमा एजेंटों को ज्यादा कमीशन मिले।,बच्चों और पेंशन से जुड़ी योजना लॉन्च करने से एजेंटों को मिलेगा ज्यादा कमीशन,0.2790697674418604,0.0975609756097561,0.2790697674418604,0.2790697674418604,[0.6855124235153198],[0.7609471082687378],[0.7212627530097961]
आने वाले दो महीने में देश का सबसे बड़ा सरकारी बैंक स्टेट बैंक ऑफ इंडिया अपनी चार सर्विसेज में बदलाव करने करने जा रहा है।,स्टेट बैंक ऑफ इंडिया की चार सर्विसेज में बदलाव,"  दिसम्बर के अंत तक SBI की चार सेवाओं में होगा बदलाव, 31 अक्टूबर तक बडी से निकाल लें बची रकम",0.20689655172413793,0.07407407407407407,0.20689655172413793,0.20689655172413793,[0.7497463822364807],[0.6922293901443481],[0.7198407649993896]
जम्मू एवं कश्मीर के अनंतनाग जिले में शनिवार को सुरक्षाबलों के साथ मुठभेड़ में दो आतंकवादियों को मार गिराया गया।,जम्मू एवं कश्मीर के अनंतनाग जिले में शनिवार को सुरक्षाबलों के साथ मुठभेड़ में दो आतंकवादियों को मार गिराया गया।,जम्मू-कश्मीर : सुरक्षाबलों के साथ मुठभेड़ में 2 आतंकवादी ढेर,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,[0.7863543629646301],[0.8718966841697693],[0.8269191384315491]
बीएस बातचीत सार्वजनिक क्षेत्र के यूको बैंक को पटरी पर आने में अभी कुछ तिमाही लगेंगी।,बीएस बातचीत सार्वजनिक क्षेत्र के यूको बैंक को पटरी पर आने में अभी कुछ तिमाही लगेंगी या कुछ तिमाही लगेंगी?,यूको बैंक नहीं खोना चाहता अपनी पहचान : गोयल,0.13793103448275865,0.07407407407407407,0.13793103448275865,0.13793103448275865,[0.6690384149551392],[0.7234534025192261],[0.6951826810836792]
"चाय और परचून की दुकान खोल रहे हैं गोश्त कारोबारी ► मांस विक्रेताओं के संगठन ने योगी से की मुलाकात ► योगी ने दिया भरोसा, वैध बूचडख़ानों का नहीं होगी दिक्कत उत्तर प्रदेश में अवैध बूचडख़ानों पर सरकारी सख्ती के चलते बीते एक सप्ताह से प्रदेश में हजारों लोग बेरोजगार हो गए, वहीं कुछ ने रोजी-रोटी के लिए नया धंधा शुरू कर दिया है।",उत्तर प्रदेश में अवैध बूचडख़ानों पर सरकारी सख्ती के चलते बीते एक सप्ताह से प्रदेश में हजारों लोग बेरोजगार हो गए,"उत्तर प्रदेश में कई होटल बंद, हजारों बेरोजगार",0.3448275862068965,0.14814814814814817,0.3448275862068965,0.3448275862068965,[0.7129047513008118],[0.8139022588729858],[0.7600629925727844]
याचिका पर इस सप्ताह हो सकती है सुनवाई नगर निगम भूतल के लिए ही जारी कर रहे हैं फैक्टरी लाइसेंस नियम मुताबिक सभी मंजिल पर औद्योगिक गतिविधि की है अनुमति दिल्ली के उद्यमी नगर निगमों द्वारा सभी मंजिलों के बजाय केवल भूतल के लिए ही फैक्टरी लाइसेंस देने के मसले पर अदालत पहुंच गए हैं।,दिल्ली के उद्यमियों की याचिका पर इस सप्ताह हो सकती है सुनवाई,फैक्टरी लाइसेंस पर अदालत पहुंचे उद्यमी,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,[0.7007511854171753],[0.6844562292098999],[0.6925078630447388]
जिला अस्पताल व महिला अस्पताल के अधिकारी चार दिन की बीमार मासूम को भर्ती करने के बजाए एक-दूसरे के अस्पताल में दौड़ाते रहे।,जिला अस्पताल व महिला अस्पताल के अधिकारी चार दिन की बीमार मासूम को भर्ती करने के बजाए एक-दूसरे के अस्पताल में दौड़ाते रहे।,"  समय पर इलाज न मिलने से बच्ची की मौत, अस्पताल के सीएमएस सस्पेंड",0.16666666666666669,0.05882352941176471,0.1111111111111111,0.1111111111111111,[0.717406690120697],[0.6975404620170593],[0.7073341608047485]
देश की प्रमुख रीयल्टी कंपनी डीएलएफ की सामाजिक दायित्व इकाई डीएलएफ फाउंडेशन 200 करोड़ रुपये के निवेश से 250 कौशल प्रशिक्षण केंद्र स्थापित करेगी।,देश की प्रमुख रीयल्टी कंपनी डीएलएफ की सामाजिक दायित्व इकाई डीएलएफ फाउंडेशन 200 करोड़ रुपये के निवेश से 250 कौशल प्रशिक्षण केंद्र स्थापित करेगी।,कौशल विकास केंद्रों के लिए निवेश करेगी डीएलएफ,0.25,0.0,0.125,0.125,[0.7075712084770203],[0.8067018985748291],[0.7538917660713196]
जस्टिस अरुण मिश्रा ने पंजाब के चीफ सेक्रेटरी से पूछा कि क्या अभी भी पंजाब में पराली जलाई जा रही है?,जस्टिस अरुण मिश्रा ने पंजाब के चीफ सेक्रेटरी से पूछा कि क्या अभी भी पंजाब में पराली जलाई जा रही है,"प्रदूषित दिल्ली नरक से भी बदतर, इस मुद्दे पर हो रहा राजनीतिकरणः सुप्रीम कोर्ट",0.11428571428571427,0.0,0.11428571428571427,0.11428571428571427,[0.6496215462684631],[0.6456465721130371],[0.6476280093193054]
अमेरिकी सिंगर अरियाना ग्रांडे का नया म्यूजिक एल्बम 'थैंक यू नेक्स्ट' रिलीज हो गया है।,अमेरिकी सिंगर अरियाना ग्रांडे का नया म्यूजिक एल्बम 'थैंक यू नेक्स्ट' रिलीज हो गया है।,"अरियाना ग्रांडे का नया गाना रिलीज, सोशल मीडिया पर वायरल",0.32,0.2608695652173913,0.32,0.32,[0.7128159403800964],[0.7473797798156738],[0.7296887636184692]
