Source,Prediction,Target,Rouge1,Rouge2,RougeL,RougeLsum,Precision,Recall,F1
"অঞ্জন শইকীয়া, ছতিয়াঃ যোৱা ২২ এপ্রিৰপৰা ২৪ এপ্ৰিল তাৰিখলৈকে লোকনায়ক অমিয় কুমাৰ দাস মহাবিদ্যালয়ত অনুষ্ঠিত হোৱা গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয়ে সৰ্বাধিক ২০ টা পুৰস্কাৰৰ খিতাপেৰে শ্ৰেষ্ঠ মহাবিদ্যালয়ৰ খিতাপ লাভ কৰে।",লোকনায়ক অমিয় কুমাৰ দাস মহাবিদ্যালয়ত অনুষ্ঠিত হোৱা গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয়ে সৰ্বাধিক ২০ টা পুৰস্কাৰৰ খিতাপেৰে শ্ৰেষ্ঠ মহাবিদ্যালয়ৰ খিতাপ লাভ কৰে।,গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয় শ্ৰেষ্ঠ,0.5,0.4117647058823529,0.5,0.5,[0.795966386795044],[0.9029598236083984],[0.8460940718650818]
উজ এ.এছ.এন. প্ৰতিনিধি 23 / 2018 সন্মিলিত গণশক্তি চেৰপাই পঞ্চায়ত সমিতিৰ উদ্যোগত বিভিন্ন দল সংগঠনৰ সহযোগত আজি নামনি চেৰপাই-দেবোত্তৰ গাওঁ সংযোগী পথৰ কদৰ্য অৱস্হা দূৰ কৰাৰ উদ্দেশ্য শ্ৰমদানৰ কাৰ্যসূচী ৰূপায়ণ কৰা হয়।,নামনি চেৰপাই-দেবোত্তৰ গাওঁ সংযোগী পথৰ কদৰ্য অৱস্হা দূৰ কৰাৰ উদ্দেশ্য শ্ৰমদানৰ কাৰ্যসূচী,"নামনি চেৰপাই দেবোত্তৰ সংযোগী পথৰ কদৰ্য ৰূপ, গণশক্তিৰ শ্ৰমদান কাৰ্যসূচী",0.45454545454545453,0.19999999999999998,0.45454545454545453,0.45454545454545453,[0.8662500381469727],[0.9115367531776428],[0.8883165717124939]
চামগুৰিঃ নগাঁও জিলাৰ চামগুৰিত সোমবাৰে এটি যোগা প্ৰশিক্ষন কেন্দ্ৰ মুকলি কৰা হয়৷ চামগুৰিত যোগ প্ৰেৰণা-দ্যা যোগা চেন্টাৰ নামৰ যোগ প্ৰশিক্ষণটো কেন্দ্ৰটো উদ্বোধন কৰে কলিয়াবৰ জিলা বিজেপিৰ সভাপতি অনিল শইকীয়াই৷ প্ৰাক্তন সাংবাদিক তথা যোগ প্ৰশিক্ষক ৰেখামনি দাসে আঁত ধৰা উদ্বোধনী অনুষ্ঠানটোৰ মুকলি সভাত সভাপতিত্ব কৰে অসম যোগ সন্থাৰ সভাপতি প্ৰভাত চন্দ্ৰ বৰাই।,চামগুৰিঃ নগাঁও জিলাৰ চামগুৰিত সোমবাৰে এটি যোগা প্ৰশিক্ষন কেন্দ্ৰ মুকলি কৰা হয়৷ চামগুৰিত যোগ প্ৰেৰণা-দ্যা যোগা চেন্টাৰ নামৰ যোগ প্ৰশিক্ষণটো কেন্দ্ৰটো উদ্বোধন কৰে কলিয়াবৰ জিলা বিজেপিৰ সভাপতি অনিল শইকীয়াই৷ প্ৰাক্তন সাংবাদিক তথা যোগ প্ৰশিক্ষক ৰেখামনি দাসে আঁত ধৰা উদ্বোধনী অনুষ্ঠানটোৰ মুকলি সভাত সভাপতিত্ব কৰে অসম যোগ সন্থাৰ সভাপতি প্ৰভাত চন্দ্ৰ বৰাই।,চামগুৰিত যোগা কেন্দ্ৰ মুকলি,0.14545454545454545,0.03773584905660377,0.14545454545454545,0.14545454545454545,[0.59977126121521],[0.7464765906333923],[0.6651303768157959]
বঢ়মপুৰঃ অংগনৱাড়ী কৰ্মী-সহায়িকাই আজি বিভিন্ন দাবীৰ সমৰ্থনত উত্তাল প্ৰতিবাদ সাব্যস্ত কৰে চামগুৰিত।,বঢ়মপুৰঃ অংগনৱাড়ী কৰ্মী-সহায়িকাই আজি বিভিন্ন দাবীৰ সমৰ্থনত উত্তাল প্ৰতিবাদ সাব্যস্ত কৰে চামগুৰিত।,চামগুৰিত অংগনৱাড়ী কৰ্মী-সহায়িকাৰ প্ৰতিবাদ,0.25,0.0,0.25,0.25,[0.7900217175483704],[0.8972015976905823],[0.8402073383331299]
গল্প 3 নতুন আইন - কমল তালুকদাৰ কাউৰীয়ে কা নকৰোঁতে পানীৰামে আজি শোৱাপাটী এৰিছে।,"পানীৰামে আজি শোৱাপাটী এৰিছে, পানীৰামে আজি শোৱাপাটী এৰিছে",নতুন আইন - কমল তালুকদাৰ - ফটাঢোল,0.0,0.0,0.0,0.0,[0.5970562696456909],[0.6208527088165283],[0.6087220311164856]
ডিব্ৰুগড়ঃ টাই আহোম যুৱ পৰিষদৰ ২২সংখ্যাক কেন্দ্ৰীয় প্ৰতিষ্ঠা দিৱস আজি ডিব্ৰুগড় সাহিত্য সভা ভৱনত অনুষ্ঠিত হয়।,ডিব্ৰুগড়ঃ টাই আহোম যুৱ পৰিষদৰ ২২সংখ্যাক কেন্দ্ৰীয় প্ৰতিষ্ঠা দিৱস আজি ডিব্ৰুগড় সাহিত্য সভা ভৱনত অনুষ্ঠিত হয়।,ডিব্ৰুগড়ত টাই আহোম যুৱ পৰিষদৰ প্ৰতিষ্ঠা দিৱস,0.5217391304347825,0.3809523809523809,0.5217391304347825,0.5217391304347825,[0.7465142011642456],[0.8277611136436462],[0.7850411534309387]
"গোৰেশ্বৰঃ জাতি জনগোষ্ঠীৰ মিলনভূমি বিটিএডিত বহু ভাষা-ভাষী, সম্প্ৰদায়-বৰ্ণৰ লোক আছে।","গোৰেশ্বৰঃ জাতি জনগোষ্ঠীৰ মিলনভূমি বিটিএডিত বহু ভাষা-ভাষী, সম্প্ৰদায়-বৰ্ণৰ লোক আছে।",৪টা পকী পথ নিৰ্মাণৰ শুভাৰম্ভ কৰিলে গনেশ কছাৰীয়ে,0.0,0.0,0.0,0.0,[0.6498434543609619],[0.6786199808120728],[0.6639200448989868]
"সোমবাৰে বিজেপিৰ ৰাজ্যিক সভাপতি ৰঞ্জিত দাসে এক সংবাদমেল আয়োজন কৰে ৷সংবাদমেলত লৈ স্থিতি স্পষ্ট বিজেপিৰ 'অসম চুক্তি ভাৰতৰ আত্মা',অসম চুক্তিৰ পিছতো অসমত অবাধ হাৰত অনুপ্ৰৱেশ ঘাটি আছিল,দ্বিতীয় খচৰাৰ পিছতো বহু ভাৰতীয়ৰ নাম বাদ পৰিছে,৫খন নথি বাতিলৰ বাবে দিয়া শপতনামা দুৰ্ভাগ্যজনক' ৰাইজক অন্ধকাৰত ৰাখি ৰাজ্যিক সমন্বয়ক প্ৰতীক হাজেলাই শপতনামা দাখিল কৰিছে,এই কথাই বিভ্ৰান্তিৰ সৃষ্টি কৰিছে ।","এন আৰ চিৰ চূড়ান্ত খচৰা প্ৰকাশৰ পিছতো বহু ভাৰতীয়ৰ নাম বাদ পৰিছে,৫খন নথি বাতিলৰ বাবে দিয়া শপতনামা দুৰ্ভাগ্যজনক' ৰাইজক অন্ধকাৰত ৰাখি ৰাজ্যিক সমন্বয়ক প্ৰতীক হাজেলাই শপতনামা দাখিল কৰিছে,এই কথাই বিভ্ৰান্তিৰ সৃষ্টি কৰিছে ।",ৰাজ্যিক বিজেপিৰ সভাপতি ৰঞ্জিত দাসৰ সংবাদমেল,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,[0.6001964211463928],[0.6673982739448547],[0.6320160031318665]
"ষড়ানন বৰা, চামগুৰিঃ নগাঁও জিলাৰ পুৰণিগুদাম আৰক্ষী চকীৰ অন্তৰ্গত পুৰণিগুদামত বুধবাৰে দুপৰীয়া বিদ্যুৎস্পৃষ্ট হৈ এটি পশুধনৰ মৃত্যু হয়৷ জানিব পৰা মতে, পুৰণিগুদাম বিৰিঞ্চি কুমাৰ বৰুৱা মহাবিদ্যালয়ৰ সমীপত বিগত বহু দিন ধৰি উন্মুক্ত অৱস্থাত থকা এটা বৈদ্যুতিক ট্ৰেন্সফৰ্মাৰত বিদ্যুৎস্পৃষ্ট হৈ বিষয়াচুকৰ দণ্ডী শইকীয়াৰ গাভিনী গাইজনীৰ মৃত্যু হয়৷ ইয়াৰ পূৰ্বেও উক্ত স্থানত বিদ্যুৎস্পৃষ্ট হৈ এটা পশুধনৰ মৃত্যু হোৱাৰ লগতে এজন ব্যক্তিৰ কথমপি প্ৰাণ ৰক্ষা পৰিছিল।","ষড়ানন বৰা, চামগুৰিঃ নগাঁও জিলাৰ পুৰণিগুদাম আৰক্ষী চকীৰ অন্তৰ্গত পুৰণিগুদামত বুধবাৰে দুপৰীয়া বিদ্যুৎস্পৃষ্ট হৈ এটি পশুধনৰ মৃত্যু হয়৷ জানিব পৰা মতে, পুৰণিগুদাম বিৰিঞ্চি কুমাৰ বৰুৱা মহাবিদ্যালয়ৰ সমীপত বিগত বহু দিন ধৰি উন্মুক্ত অৱস্থাত থকা এটা বৈদ্যুতিক ট্ৰেন্সফৰ্মাৰত বিদ্যুৎস্পৃষ্ট হৈ বিষয়াচুকৰ দণ্ডী শইকীয়াৰ গাভিনী গাইজনীৰ মৃত্যু হয়৷ বিদ্যুৎস্পৃষ্ট হৈ গাভিনী গাইজনীৰ মৃত্যু হোৱাৰ লগতে এজন ব্যক্তিৰ কথমপি প্ৰাণ ৰক্ষা পৰিছিল।",পুৰণিগুদামত বিদ্যৎস্পৃষ্ট হৈ পশুধনৰ মৃত্যু,0.125,0.03225806451612903,0.125,0.125,[0.6559313535690308],[0.7582968473434448],[0.7034093737602234]
জ এ.এছ.এন. প্ৰতিনিধি / 2019 ডিমৌৰ পৰা অভিজিত গগৈৰ প্ৰতিবেদন : ডিমৌস্থিত চৰকাৰী-বেচৰকাৰী বিদ্যালয়- মহাবিদ্যালয়সমূহত আজি ৫৮ সংখ্যক শিক্ষক দিৱস উদ্ যাপন কৰাৰ লগতে ৰাজমাও মধ্য ইংৰাজী বিদ্যালয়ত ব্যতিক্ৰমী ৰূপত শিক্ষক দিৱস উদযাপন কৰে।,ডিমৌৰ পৰা অভিজিত গগৈৰ প্ৰতিবেদন : ডিমৌস্থিত চৰকাৰী-বেচৰকাৰী বিদ্যালয়- মহাবিদ্যালয়সমূহত আজি ৫৮ সংখ্যক শিক্ষক দিৱস উদযাপন,ডিমৌত ৫৮ সংখ্যক শিক্ষক দিৱস উদযাপন,0.45454545454545453,0.4,0.45454545454545453,0.45454545454545453,[0.7027721405029297],[0.8811960220336914],[0.7819349765777588]
