Source,Target,Prediction,Rouge1,Rouge2,RougeL,RougeLsum,Precision,Recall,F1
"অঞ্জন শইকীয়া, ছতিয়াঃ যোৱা ২২ এপ্রিৰপৰা ২৪ এপ্ৰিল তাৰিখলৈকে লোকনায়ক অমিয় কুমাৰ দাস মহাবিদ্যালয়ত অনুষ্ঠিত হোৱা গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয়ে সৰ্বাধিক ২০ টা পুৰস্কাৰৰ খিতাপেৰে শ্ৰেষ্ঠ মহাবিদ্যালয়ৰ খিতাপ লাভ কৰে।",গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয় শ্ৰেষ্ঠ,কোৰোনা ভাইৰাছৰ ৰমৰমীয়া ব্যৱহাৰকাৰী,0.0,0.0,0.0,0.0,[0.683822751045227],[0.6128767132759094],[0.6464088559150696]
উজ এ.এছ.এন. প্ৰতিনিধি 23 / 2018 সন্মিলিত গণশক্তি চেৰপাই পঞ্চায়ত সমিতিৰ উদ্যোগত বিভিন্ন দল সংগঠনৰ সহযোগত আজি নামনি চেৰপাই-দেবোত্তৰ গাওঁ সংযোগী পথৰ কদৰ্য অৱস্হা দূৰ কৰাৰ উদ্দেশ্য শ্ৰমদানৰ কাৰ্যসূচী ৰূপায়ণ কৰা হয়।,"নামনি চেৰপাই দেবোত্তৰ সংযোগী পথৰ কদৰ্য ৰূপ, গণশক্তিৰ শ্ৰমদান কাৰ্যসূচী",কোৰোনা ভাইৰাছৰ কবলত পৰি সৰবৰাহ..,0.0,0.0,0.0,0.0,[0.7299388647079468],[0.6896747946739197],[0.7092358469963074]
চামগুৰিঃ নগাঁও জিলাৰ চামগুৰিত সোমবাৰে এটি যোগা প্ৰশিক্ষন কেন্দ্ৰ মুকলি কৰা হয়৷ চামগুৰিত যোগ প্ৰেৰণা-দ্যা যোগা চেন্টাৰ নামৰ যোগ প্ৰশিক্ষণটো কেন্দ্ৰটো উদ্বোধন কৰে কলিয়াবৰ জিলা বিজেপিৰ সভাপতি অনিল শইকীয়াই৷ প্ৰাক্তন সাংবাদিক তথা যোগ প্ৰশিক্ষক ৰেখামনি দাসে আঁত ধৰা উদ্বোধনী অনুষ্ঠানটোৰ মুকলি সভাত সভাপতিত্ব কৰে অসম যোগ সন্থাৰ সভাপতি প্ৰভাত চন্দ্ৰ বৰাই।,চামগুৰিত যোগা কেন্দ্ৰ মুকলি,কোৱাৰ্টাৰত পোহচাৰ পিছত সৰ্বস্বান্ত হ',0.0,0.0,0.0,0.0,[0.6930984258651733],[0.7266423106193542],[0.7094741463661194]
বঢ়মপুৰঃ অংগনৱাড়ী কৰ্মী-সহায়িকাই আজি বিভিন্ন দাবীৰ সমৰ্থনত উত্তাল প্ৰতিবাদ সাব্যস্ত কৰে চামগুৰিত।,চামগুৰিত অংগনৱাড়ী কৰ্মী-সহায়িকাৰ প্ৰতিবাদ,সৰ্বভাৰতীয় পৰম্পৰাগত সাজ-পোছাকৰ স,0.0,0.0,0.0,0.0,[0.7195934057235718],[0.7160981893539429],[0.7178415656089783]
গল্প 3 নতুন আইন - কমল তালুকদাৰ কাউৰীয়ে কা নকৰোঁতে পানীৰামে আজি শোৱাপাটী এৰিছে।,নতুন আইন - কমল তালুকদাৰ - ফটাঢোল,সৰ্বভাৰতীয় পৰিস্থিতিৰ পৰিৱৰ্তন হ',0.0,0.0,0.0,0.0,[0.637071430683136],[0.6702888607978821],[0.6532581448554993]
ডিব্ৰুগড়ঃ টাই আহোম যুৱ পৰিষদৰ ২২সংখ্যাক কেন্দ্ৰীয় প্ৰতিষ্ঠা দিৱস আজি ডিব্ৰুগড় সাহিত্য সভা ভৱনত অনুষ্ঠিত হয়।,ডিব্ৰুগড়ত টাই আহোম যুৱ পৰিষদৰ প্ৰতিষ্ঠা দিৱস,সৰ্বভাৰতীয় পৰিস্থিতিৰ পৰিৱৰ্তন হ',0.0,0.0,0.0,0.0,[0.7355554103851318],[0.7012566328048706],[0.7179966568946838]
"গোৰেশ্বৰঃ জাতি জনগোষ্ঠীৰ মিলনভূমি বিটিএডিত বহু ভাষা-ভাষী, সম্প্ৰদায়-বৰ্ণৰ লোক আছে।",৪টা পকী পথ নিৰ্মাণৰ শুভাৰম্ভ কৰিলে গনেশ কছাৰীয়ে,সৰ্বভাৰতীয় পৰিস্থিতিৰ পৰিৱৰ্তন হ',0.0,0.0,0.0,0.0,[0.7277424931526184],[0.7207177877426147],[0.7242131233215332]
"সোমবাৰে বিজেপিৰ ৰাজ্যিক সভাপতি ৰঞ্জিত দাসে এক সংবাদমেল আয়োজন কৰে ৷সংবাদমেলত লৈ স্থিতি স্পষ্ট বিজেপিৰ 'অসম চুক্তি ভাৰতৰ আত্মা',অসম চুক্তিৰ পিছতো অসমত অবাধ হাৰত অনুপ্ৰৱেশ ঘাটি আছিল,দ্বিতীয় খচৰাৰ পিছতো বহু ভাৰতীয়ৰ নাম বাদ পৰিছে,৫খন নথি বাতিলৰ বাবে দিয়া শপতনামা দুৰ্ভাগ্যজনক' ৰাইজক অন্ধকাৰত ৰাখি ৰাজ্যিক সমন্বয়ক প্ৰতীক হাজেলাই শপতনামা দাখিল কৰিছে,এই কথাই বিভ্ৰান্তিৰ সৃষ্টি কৰিছে ।",ৰাজ্যিক বিজেপিৰ সভাপতি ৰঞ্জিত দাসৰ সংবাদমেল,কোৱাৰ্টাৰত বৰষুণ.. সৰ্বাত্মক বিৰল,0.0,0.0,0.0,0.0,[0.6756706237792969],[0.6770656108856201],[0.6763674020767212]
"ষড়ানন বৰা, চামগুৰিঃ নগাঁও জিলাৰ পুৰণিগুদাম আৰক্ষী চকীৰ অন্তৰ্গত পুৰণিগুদামত বুধবাৰে দুপৰীয়া বিদ্যুৎস্পৃষ্ট হৈ এটি পশুধনৰ মৃত্যু হয়৷ জানিব পৰা মতে, পুৰণিগুদাম বিৰিঞ্চি কুমাৰ বৰুৱা মহাবিদ্যালয়ৰ সমীপত বিগত বহু দিন ধৰি উন্মুক্ত অৱস্থাত থকা এটা বৈদ্যুতিক ট্ৰেন্সফৰ্মাৰত বিদ্যুৎস্পৃষ্ট হৈ বিষয়াচুকৰ দণ্ডী শইকীয়াৰ গাভিনী গাইজনীৰ মৃত্যু হয়৷ ইয়াৰ পূৰ্বেও উক্ত স্থানত বিদ্যুৎস্পৃষ্ট হৈ এটা পশুধনৰ মৃত্যু হোৱাৰ লগতে এজন ব্যক্তিৰ কথমপি প্ৰাণ ৰক্ষা পৰিছিল।",পুৰণিগুদামত বিদ্যৎস্পৃষ্ট হৈ পশুধনৰ মৃত্যু,কোৱাৰ্টাৰৰ পৰা ফালৰি পৰিস্কাৰ,0.0,0.0,0.0,0.0,[0.742206871509552],[0.6795972585678101],[0.7095234990119934]
জ এ.এছ.এন. প্ৰতিনিধি / 2019 ডিমৌৰ পৰা অভিজিত গগৈৰ প্ৰতিবেদন : ডিমৌস্থিত চৰকাৰী-বেচৰকাৰী বিদ্যালয়- মহাবিদ্যালয়সমূহত আজি ৫৮ সংখ্যক শিক্ষক দিৱস উদ্ যাপন কৰাৰ লগতে ৰাজমাও মধ্য ইংৰাজী বিদ্যালয়ত ব্যতিক্ৰমী ৰূপত শিক্ষক দিৱস উদযাপন কৰে।,ডিমৌত ৫৮ সংখ্যক শিক্ষক দিৱস উদযাপন,কোৰোনা ভাইৰাছৰ কবলত পৰিছে ডিভাইড আছাম ডিষ্ট্ৰ,0.0,0.0,0.0,0.0,[0.6357226967811584],[0.6364753246307373],[0.6360988020896912]
