Source,Prediction,Target,Meteor Score,Bleu Score
The International Civil Aviation Organisation evaluates and ranks airport security systems.,['আন ্ তর ্ জাতিক সভ ্ যন ্ ত ্ রাসঙ ্ গিক অর ্ থান ব ্ যবস ্ থা বিশ ্ লেষণ করে এবং শ ্ রেণীষ ্ ট করে ।'],"আন্তর্জাতিক সিভিল এভিয়েশন সংস্থা বিমানবন্দরের নিরাপত্তা, র‌্যাঙ্কিং পর্যালোচনা করে থাকে।",0.03759398496240601,2.5581897658231897e-155
They can be deactivated using the control panel on your arm.,['ওগুলো নিয়ন ্ ত ্ রণ কর ্ মক ্ ষেত ্ র ব ্ যবহার করে আপনার হাতের উপরে সরিয ় ে ফেলা যায় ।'],আপনার বাহুতে থাকা কন্ট্রোল প্যানেল দ্বারা ঐ জুতাকে অফ করা যাবে।,0.04000000000000001,2.925401917493371e-155
He was born at Ulail in Dhaka district of Bengal province in British India (now Dhaka District of Bangladesh).,['তিনি জন ্ মগ ্ রিটিশ ইন ্ ডিয়ায় (বর ্ তমান ব ্ যাঙ ্ গেড ় ার ডাকা மாவட்டம்) ডাকা দ ্ বারা দ ্ বীপে অবস ্ থিত ulail এ ।'],আহসানুল হক মোল্লা ব্রিটিশ ভারতের বেঙ্গল প্রেসিডেন্সির (বর্তমান বাংলাদেশ) কুষ্টিয়া জেলার দৌলতপুর উপজেলার তারাগুনিয়া গ্রামে জন্মগ্রহণ করেন।,0.04830917874396135,0
Atra Gilatola Union,['এট ্ র গিলাটোলা যন ্ ত ্ র'],ফুলতলা ইউনিয়ন,0.0,0
He is the father of five daughters.,['সে পাঁচজন মেয ় েদের বাবা ।'],পাঁচ মেয়ের বাবা পবন।,0.11627906976744187,5.637975647982813e-155
She too does not want to go back.,['সেও ফিরে আসতে চায়না ।'],কভুও সে পশ্চাতেতে ফিরে নাহি চায়।,0.0847457627118644,5.4617059812245815e-155
"""""""So tell me, have we found what we were looking for?""""""","['"""""" তাহলে আমাকে বলুন, আমরা কি পেয়েছি আমরা যা খুঁজছিলাম?""""']","এখন বলুন, যা খুঁজছিলেন সেটা কি পেয়েছেন?",0.3835051546391753,8.170202920075766e-155
There is nothing to be scared of.,['আমাদেরকে ভয ় পাওয ় ার কিছু নেই ।'],এতে ঘাবড়ে যাওয়ার কিছু নেই।,0.0925925925925926,4.972227154133551e-155
Four people have been arrested.,['চারজনকে গ ্ রেপ ্ তার করা হয ় ।'],মোট চারজনকে সেখান থেকে ধরা হয়।,0.078125,4.717068855239749e-155
So is the European Union.,['এরকমই ইউরোপিয়ান সংস ্ কৃতি ।'],এরপরেই আছে ইউরোপিয় ইউনিয়ন।,0.0,0
