Source,Target,Prediction,Meteor,Bleu
आस्ट्रेलिया के पाल हेनली के साथ जोड़ी बनाने वाले पेस मियामी में क्वार्टरफाइनल तक ही पहुंच सके क्योंकि इस दौर में उन्हें भूपति और नोल्स ने हराया था।,"However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles",Pace Mimiam with Australian Pal Henly could reach the quarterfinals only as they had defeated Bhupati and Noll during this time.,0.1809780515979977,0.11737159207862283
और जो शख्स (अपने आमाल का) बदला दुनिया ही में चाहता है तो ख़ुदा के पास दुनिया व आख़िरत दोनों का अज्र मौजूद है और ख़ुदा तो हर शख्स की सुनता और सबको देखता है,"Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.","And, when a person changes his lifestyle, he or she finds the rest of the world and the rest of the world, and he or she listens to everyone and sees everyone.",0.19607843137254904,0.2129856878426493
"जैव-मंडल में कीड़ों का मूल्य बहुत है, क्योंकि प्रजातियों की समृद्धि के मामले में उनकी संख्या अन्य जीव समूहों से ज़्यादा है।",The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.,Biospecimens have a plenty of value because in case of species prosperity they are more than other living organisms.,0.34128440366972473,0.20649426332447393
आस्ट्रेलिया के खिलाफ वनडे टीम की कमान मिताली को,Mithali To Anchor Indian Team Against Australia in ODIs,Ugadi team leads by Mithali against Australia,0.35866477272727276,0.05185685985790754
"8 सितम्‍बर, 2016 को माननीय राष्‍ट्रपति की स्‍वीकृति मिलने के बाद 101वां संविधान संशोधन अधिनियम, 2016 अस्तित्‍व में आया","After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","After the assent of the Hon’ble President on 8th September, 2016, the 101st Constitutional Amendment Act, 2016 came into existence.",0.8326155612977318,0.6069769786668839
अदालत ने इस मामले में आगे की सुनवाई के लिए एक फरवरी की तारीख़ तय की,The court has fixed a hearing for February 12,The Court has deferred the date of February 1st for further hearing of the case.,0.4395761741122566,0.048795003647426664
"जहाँ पर ट्रैक को विभाजित किया जाना है, कृपया वह स्थान चुनें.",Please select the position where the track should be split.,"Where the track is to be divided, please choose the location.",0.3125,0.19069251784911848
"इसके तुरंत बाद सेना की 22 राष्ट्रीय राइफल्स (आरआर), सीआरपीएफ और पुलिस के स्पेशल ऑपरेशन ग्रुप (एसओजी) के जवानों द्वारा इलाके की घेराबंदी कर तलाशी अभियान चलाया।","As per police, armys 22RR, special operation Group (SOG) of police and the Central Reserve Police Force (CRPF) cordoned the village and launched search operation in the area.","Immediately after that a search operation was launched by Armys 22 Rashtriya Rifles (RR), CRPF and Special Operation Group (SOG) of Police.",0.26239067055393583,0.1623097878055767
झारखंड के मुख्यमंत्री हेमंत सोरेन (फोटोः पीटीआई),Jharkhand chief minister Hemant Soren,Chief Minister of Jharkhand Shri Hemant Soren (Photo: PTI),0.7824561403508773,0.20412414523193154
सेक्टर 55/56 के एसएचओ अरविंद कुमार ने बताया कि इस मामले में आईपीसी की धारा 376-डी (गैंगरेप) के तहत मामला दर्ज कर लिया गया है।,"Arvind Kumar, SHO of the sector 55/56 police station, said a case has been registered under section 376-D (gang rape) of the Indian Penal Code.",A case has been registered under Section 376-D (Gangerap) of the IPC.,0.45333748572614974,0.18631908439530653
"आज नई दिल्ली में मीडिया से बातचीत में पार्टी के राज्य प्रभारी अनिल जैन ने बताया कि बैठक के बाद पार्टी, सरकार के गठन का दावा पेश करने के लिए राज्यपाल से मिलेगी।","Briefing media in New Delhi today, party's State-in-charge, Anil Jain said, after the meeting the party will meet the Governor to stake claim for government formation in the state.","In a media briefing in New Delhi today, Shri Anil Jain, State in-charge of the Party said that after the meeting the party will meet the Governor to claim to form the government.",0.7270967597565342,0.4522670168666454
"फिर यीशु ने मन्दिर में उपदेश करते हुए यह कहा, कि शास्त्री क्योंकर कहते हैं, कि मसीह दाऊद का पुत्रा है?","""Jesus responded, as he taught in the temple, """"How is it that the scribes say that the Christ is the son of David?""","Then, Jesus Christ replied to the teaching at the Temple, saying: why do Shastri say that the King is Dawood’s daughter?",0.2871305649083427,0.16598849735491095
सभी मुख्य पार्टियों के वरिष्ठ नेताओं ने अपने-अपने उम्मीदवारों के पक्ष में चुनाव प्रचार किया।,Senior leaders of all major parties held electioneering in favour of their candidates.,Senior leaders of all the major political parties offered election campaigns in favour of their candidates.,0.8236208236208235,0.5664215155988809
इसी बीच एक बाइक पर तीन लोग आते दिखाई दिए।,"Meanwhile, three people came there on a bike.","In the meanwhile, three people came together on a bike.",0.8775114984265312,0.5163977794943222
कटरीना ने ये वीड‍ियो अपनी इंस्‍टास्‍टोरी में शेयर क‍िया है.,Katrina shared the video on Instagram.,Kareena has shared this video in her Instagram account.,0.273972602739726,0.05270462766947299
