Source,Target,Prediction,Meteor,Bleu
"['तथापि, पेस, जो ऑस्ट्रेलिया के पॉल हनली के साथ भागीदारी कर रहा था, केवल क्वार्टफ़िल तक जा सकता था जहां वे भूपति और नोउल्स से हार गए।']","However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles","[Pesa, which was participating with Paul Hanali of Australia, could travel only to uartfil where he defeated Bhupati and Nouls.]",0.2562600222030344,0.036941374410829106
['और जो शख़्श दुनिया की जज़ा चाहता है तो ख़ुदा ही के पास दुनिया और आख़िरत की जज़ा है और ख़ुदा तो बड़ा सुनने वाला देखने वाला है'],"Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.","[Means: And, if a soldier wants to enjoy the world, then he himself has the joy of the world and the happiness of the world and he himself has the greatest listener.]",0.31142327060694414,0.23546453742994244
['जीवमंडल में कीटों का मूल्य बहुत बड़ा है क्योंकि वे प्रजातियों की समृद्धता के आधार पर अन्य सभी जीवित समूहों से अधिक हैं।'],The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.,[The value of the insects in the habitat is very high as they are more than all other living groups based on the richness of the species],0.5304943710230055,0.3202563076101743
['भारत की भारतीय टीम ओडीआई में आस्ट्रेलिया के खिलाफ शामिल हो रही है।'],Mithali To Anchor Indian Team Against Australia in ODIs,[Indias team joins ODI against Australia],0.3546348314606741,0
"['8 सितंबर, 2016 को माननीय राष्ट्रपति के अनुमोदन के बाद 101वें संविधान संशोधन अधिनियम, 2016 अस्तित्व में आया।']","After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","[The 101st Constitutional Amendment Act, 2016 came into force with the approval of Honble President on 8th September, 2016]",0.5726559491721216,0.4188539082916955
['अदालत ने 12 फरवरी को सुनवाई तय की है।'],The court has fixed a hearing for February 12,[The Adalat has scheduled the hearing on 12th February.],0.21505376344086022,0.05270462766947299
['कृपया स्थान चुनें जहाँ ट्रैक विभाजित किया जाना चाहिए.'],Please select the position where the track should be split.,[Kindly choose the destination where the track should be divided.],0.6004008746355685,0.5163977794943222
"['पुलिस के अनुसार सेना 22आरआर, पुलिस की विशेष कार्य समूह (एसओजी) और केंद्रीय रिजर्व पुलिस बल (सीआरपीएफ) ने गांव को घेर लिया और उस क्षेत्र में तलाशी अभियान आरंभ किया।']","As per police, armys 22RR, special operation Group (SOG) of police and the Central Reserve Police Force (CRPF) cordoned the village and launched search operation in the area.","[As per Police, Army 22RR, Special Task Force (SOG) of Police and Central Reserve Police Force (CRPF) carried out search operation in the village.]",0.7691019030950917,0.38129144294653017
['झारखंड के मुख्यमंत्री हेमानत सोरेन'],Jharkhand chief minister Hemant Soren,"[Chief Minister of Jharkhand, Shri Hemant Soren]",0.8109090909090909,0.048795003647426664
['भारतीय दंड संहिता की धारा 376-घ (गांग बलात्कार) के तहत एक मुकदमा पंजीकृत किया गया है।'],"Arvind Kumar, SHO of the sector 55/56 police station, said a case has been registered under section 376-D (gang rape) of the Indian Penal Code.",[A case has been registered under Section 376-D (Gang Rape) of the Indian Penal Code.],0.6206364410387399,0.29642151188002913
"['आज नई दिल्ली में मीडिया को briefing करते हुए पार्टी के राज्य प्रभार, अनिल जैन ने कहा कि बैठक के बाद पार्टी राज्य में सरकार की स्थापना के लिए दावा करने के लिए गवर्नर से मुलाकात करेगी।']","Briefing media in New Delhi today, party's State-in-charge, Anil Jain said, after the meeting the party will meet the Governor to stake claim for government formation in the state.","[Conversing media briefing in New Delhi today, Shri Anil Jain, State President of the Party said that after the meeting the party will meet the Governor to claim to form the government in the state]",0.6462495775431899,0.4674263524428027
"['येशू ने मंदिर में शिक्षा देते हुए कहा, ""ऐसा क्यों है कि शास्त्री कहते हैं कि ईसा दाऊद का बेटा है?""']","""Jesus responded, as he taught in the temple, """"How is it that the scribes say that the Christ is the son of David?""",[Means: why is it that Shastri says that Is Is Is Is Is Is Is Dawood's son,0.19739619985925405,0.13472095184954505
