Source,Prediction,Target,Meteor Score,Bleu Score
"['तथापि, पेस, जो ऑस्ट्रेलिया के पॉल हनली के साथ भागीदारी कर रहा था, केवल क्वार्टफ़िल तक जा सकता था जहां वे भूपति और नोउल्स से हार गए।']","['However, Pes, who was partnering with Paul Hanley of Australia, could only go to Quartfield where he lost to Bhupati and Nouls.']","However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles",0.2029960920538428,0.12599029306614049
['और जो शख़्श दुनिया की जज़ा चाहता है तो ख़ुदा ही के पास दुनिया और आख़िरत की जज़ा है और ख़ुदा तो बड़ा सुनने वाला देखने वाला है'],"['And whoever desires the reward of this world, with Allah is the reward of this world and the Hereafter. And Allah is All Hearing, All Seeing.']","Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.",0.4600179556633236,0.3703936537584361
['जीवमंडल में कीटों का मूल्य बहुत बड़ा है क्योंकि वे प्रजातियों की समृद्धता के आधार पर अन्य सभी जीवित समूहों से अधिक हैं।'],"['In the biosphere, insects are of great value because they outnumber all other living groups on the basis of species richness.']",The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.,0.4444444444444444,0.29488391230979427
['भारत की भारतीय टीम ओडीआई में आस्ट्रेलिया के खिलाफ शामिल हो रही है।'],"[""India's Indian team is taking part in the ODI against Australia.""]",Mithali To Anchor Indian Team Against Australia in ODIs,0.474468085106383,0.25318484177091666
"['8 सितंबर, 2016 को माननीय राष्ट्रपति के अनुमोदन के बाद 101वें संविधान संशोधन अधिनियम, 2016 अस्तित्व में आया।']","['The 101st Constitutional Amendment Act, 2016 came into force on September 8, 2016 with the approval of the Honourable President.']","After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence",0.6043147136264544,0.43932284089105766
['अदालत ने 12 फरवरी को सुनवाई तय की है।'],['The court has decided the hearing on February 12th.'],The court has fixed a hearing for February 12,0.3340595497458243,0.1875598072576186
['कृपया स्थान चुनें जहाँ ट्रैक विभाजित किया जाना चाहिए.'],['Please select the location where the track should be divided.'],Please select the position where the track should be split.,0.5637254901960784,0.31596060906157203
"['पुलिस के अनुसार सेना 22आरआर, पुलिस की विशेष कार्य समूह (एसओजी) और केंद्रीय रिजर्व पुलिस बल (सीआरपीएफ) ने गांव को घेर लिया और उस क्षेत्र में तलाशी अभियान आरंभ किया।']","['According to the police, Army 22RR, Special Task Force of Police (SOG) and Central Reserve Police Force (CRPF) surrounded the village and launched search operations in the area.']","As per police, armys 22RR, special operation Group (SOG) of police and the Central Reserve Police Force (CRPF) cordoned the village and launched search operation in the area.",0.25991975737663486,0.1356127007241621
['झारखंड के मुख्यमंत्री हेमानत सोरेन'],"['Chief Minister of Jharkhand, Hemant Soren']",Jharkhand chief minister Hemant Soren,0.436046511627907,0.4239476213483084
['भारतीय दंड संहिता की धारा 376-घ (गांग बलात्कार) के तहत एक मुकदमा पंजीकृत किया गया है।'],['A case has been registered under Section 376 - D (Gang rape) of the Indian Penal Code.'],"Arvind Kumar, SHO of the sector 55/56 police station, said a case has been registered under section 376-D (gang rape) of the Indian Penal Code.",0.28735632183908044,0.15604145299206948
