Source,Target,Prediction,Rouge1,Rouge2,RougeL,RougeLsum,Precision,Recall,F1
वाराणसी में खाद्य सुरक्षा एवं औषधि प्रशासन की लापरवाही से व्यापारियों में नाराजगी देखी जा रही है।,खाद्य व दवा व्यापारियों में नाराजगी,खाद्य सुरक्षा एवं औषधि प्रशासन की लापरवाही से व्यापारियों में नाराजगी,0.4705882352941177,0.26666666666666666,0.4705882352941177,0.4705882352941177,[0.8179589509963989],[0.9074504971504211],[0.8603838682174683]
'मीडिया पर किसी तरह की पाबंदी नहीं' जावड़ेकर ने पीटीआई के पत्रकारों से बातचीत में कहा कि घाटी में मीडिया पर किसी तरह की पाबंदी नहीं है और बिना किसी कठिनाई के अखबारों का प्रकाशन किया जा रहा है।,कश्मीर से अनुच्छेद 370 हटाए जाने पर किलसा विरोध में की तरफ बढ़ा,'मीडिया पर किसी तरह की पाबंदी नहीं',0.2,0.0,0.2,0.2,[0.691076934337616],[0.6558926701545715],[0.6730252504348755]
जीवन बीमा कंपनियां अब संशोधित यूनिट लिंक्ड बीमा योजना (यूलिप) के साथ नई परंपरागत योजनाएं लॉन्च कर रही हैं संभव है कि इससे बीमा एजेंटों को ज्यादा कमीशन मिले।,बच्चों और पेंशन से जुड़ी योजना लॉन्च करने से एजेंटों को मिलेगा ज्यादा कमीशन,एजेंटों को मिलेगा ज्यादा कमीशन,0.5263157894736842,0.47058823529411764,0.5263157894736842,0.5263157894736842,[0.9511181712150574],[0.7861440181732178],[0.8607979416847229]
आने वाले दो महीने में देश का सबसे बड़ा सरकारी बैंक स्टेट बैंक ऑफ इंडिया अपनी चार सर्विसेज में बदलाव करने करने जा रहा है।,"  दिसम्बर के अंत तक SBI की चार सेवाओं में होगा बदलाव, 31 अक्टूबर तक बडी से निकाल लें बची रकम",चार सर्विसेज में बदलाव करेगा स्टेट बैंक,0.14814814814814817,0.0,0.14814814814814817,0.14814814814814817,[0.7432855367660522],[0.7050096392631531],[0.7236418128013611]
जम्मू एवं कश्मीर के अनंतनाग जिले में शनिवार को सुरक्षाबलों के साथ मुठभेड़ में दो आतंकवादियों को मार गिराया गया।,जम्मू-कश्मीर : सुरक्षाबलों के साथ मुठभेड़ में 2 आतंकवादी ढेर,जम्मू एवं कश्मीरः अनंतनाग में सुरक्षाबलों के साथ मुठभेड़ में दो आतंकवादी ढेर,0.608695652173913,0.4761904761904762,0.608695652173913,0.608695652173913,[0.9112367033958435],[0.9477943181991577],[0.9291561245918274]
बीएस बातचीत सार्वजनिक क्षेत्र के यूको बैंक को पटरी पर आने में अभी कुछ तिमाही लगेंगी।,यूको बैंक नहीं खोना चाहता अपनी पहचान : गोयल,यूको बैंक को पटरी पर आने में देर,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.23529411764705882,[0.7694786787033081],[0.7388891577720642],[0.7538737654685974]
"चाय और परचून की दुकान खोल रहे हैं गोश्त कारोबारी ► मांस विक्रेताओं के संगठन ने योगी से की मुलाकात ► योगी ने दिया भरोसा, वैध बूचडख़ानों का नहीं होगी दिक्कत उत्तर प्रदेश में अवैध बूचडख़ानों पर सरकारी सख्ती के चलते बीते एक सप्ताह से प्रदेश में हजारों लोग बेरोजगार हो गए, वहीं कुछ ने रोजी-रोटी के लिए नया धंधा शुरू कर दिया है।","उत्तर प्रदेश में कई होटल बंद, हजारों बेरोजगार",अवैध बूचडख़ानों पर सख्ती से बेरोजगार हुए हजारों,0.25,0.0,0.125,0.125,[0.7135740518569946],[0.7594785690307617],[0.7358110547065735]
याचिका पर इस सप्ताह हो सकती है सुनवाई नगर निगम भूतल के लिए ही जारी कर रहे हैं फैक्टरी लाइसेंस नियम मुताबिक सभी मंजिल पर औद्योगिक गतिविधि की है अनुमति दिल्ली के उद्यमी नगर निगमों द्वारा सभी मंजिलों के बजाय केवल भूतल के लिए ही फैक्टरी लाइसेंस देने के मसले पर अदालत पहुंच गए हैं।,फैक्टरी लाइसेंस पर अदालत पहुंचे उद्यमी,भूतल के लिए फैक्टरी नहीं,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,[0.7959892749786377],[0.724783182144165],[0.7587192058563232]
जिला अस्पताल व महिला अस्पताल के अधिकारी चार दिन की बीमार मासूम को भर्ती करने के बजाए एक-दूसरे के अस्पताल में दौड़ाते रहे।,"  समय पर इलाज न मिलने से बच्ची की मौत, अस्पताल के सीएमएस सस्पेंड",बीमार मासूम को भर्ती करने के बजाए दौड़ाते रहे जिला अस्पताल व महिला अस्पताल अधिकारी,0.14285714285714288,0.0,0.07142857142857144,0.07142857142857144,[0.7278947234153748],[0.6992017030715942],[0.7132598161697388]
देश की प्रमुख रीयल्टी कंपनी डीएलएफ की सामाजिक दायित्व इकाई डीएलएफ फाउंडेशन 200 करोड़ रुपये के निवेश से 250 कौशल प्रशिक्षण केंद्र स्थापित करेगी।,कौशल विकास केंद्रों के लिए निवेश करेगी डीएलएफ,250 कौशल प्रशिक्षण केंद्र स्थापित करेगी डीएलएफ फाउंडेशन,0.375,0.14285714285714285,0.375,0.375,[0.8104479312896729],[0.8522889614105225],[0.8308420181274414]
जस्टिस अरुण मिश्रा ने पंजाब के चीफ सेक्रेटरी से पूछा कि क्या अभी भी पंजाब में पराली जलाई जा रही है?,"प्रदूषित दिल्ली नरक से भी बदतर, इस मुद्दे पर हो रहा राजनीतिकरणः सुप्रीम कोर्ट",जस्टिस अरुण मिश्रा ने पंजाब के चीफ सेक्रेटरी से पूछा- क्या अभी भी पंजाब में पराली ज,0.12903225806451615,0.0,0.12903225806451615,0.12903225806451615,[0.6375135779380798],[0.635168731212616],[0.636339008808136]
अमेरिकी सिंगर अरियाना ग्रांडे का नया म्यूजिक एल्बम 'थैंक यू नेक्स्ट' रिलीज हो गया है।,"अरियाना ग्रांडे का नया गाना रिलीज, सोशल मीडिया पर वायरल",अमेरिकी सिंगर अरियाना ग्रांडे का नया एल्बम 'थैंक यू नेक्,0.4000000000000001,0.3333333333333333,0.4000000000000001,0.4000000000000001,[0.7416676878929138],[0.7449913024902344],[0.7433257102966309]
"रिपोर्ट्स के मुताबिक, केमिकल इंडस्ट्रियल पार्क में स्थित एक फैक्ट्री में आग लगने के बाद गुरुवार को करीब अपरान्ह 2.48 विस्फोट बजे हुआ।","चीनः तेज रफ्तार कार ने 6 लोगों को रौंदा, पुलिस ने ड्राइवर को मारी गोली",फैक्ट्री में आग लगने के बाद विस्फोट,0.0,0.0,0.0,0.0,[0.7001146078109741],[0.6828790903091431],[0.6913894414901733]
सरकारी विमानन कंपनी एयर इंडिया में पायलटों की हड़ताल के कारण दूसरी विमानन कंपनियों द्वारा हवाई किराया बढ़ाने का मामला अब भारतीय प्रतिस्पर्धा आयोग (सीसीआई) के दर पर पहुंच गया है।,हवाई किराया बढ़ाने का मामला अब भारतीय प्रतिस्पर्धा आयोग के दर पर पहुंच गया है,एयर इंडिया में पायलटों की हड़ताल से बढ़ा किराया,0.08333333333333334,0.0,0.08333333333333334,0.08333333333333334,[0.7356828451156616],[0.706109881401062],[0.7205930352210999]
