Source,Prediction,Target,Meteor Score,Bleu Score
"However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles","['तथापि, पेस, जो ऑस्ट्रेलिया के पॉल हनली के साथ भागीदारी कर रहा था, केवल क्वार्टफ़िल तक जा सकता था जहां वे भूपति और नोउल्स से हार गए।']",आस्ट्रेलिया के पाल हेनली के साथ जोड़ी बनाने वाले पेस मियामी में क्वार्टरफाइनल तक ही पहुंच सके क्योंकि इस दौर में उन्हें भूपति और नोल्स ने हराया था।,0.2029960920538428,0.12599029306614049
"Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.",['और जो शख़्श दुनिया की जज़ा चाहता है तो ख़ुदा ही के पास दुनिया और आख़िरत की जज़ा है और ख़ुदा तो बड़ा सुनने वाला देखने वाला है'],और जो शख्स (अपने आमाल का) बदला दुनिया ही में चाहता है तो ख़ुदा के पास दुनिया व आख़िरत दोनों का अज्र मौजूद है और ख़ुदा तो हर शख्स की सुनता और सबको देखता है,0.4600179556633236,0.3703936537584361
The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.,['जीवमंडल में कीटों का मूल्य बहुत बड़ा है क्योंकि वे प्रजातियों की समृद्धता के आधार पर अन्य सभी जीवित समूहों से अधिक हैं।'],"जैव-मंडल में कीड़ों का मूल्य बहुत है, क्योंकि प्रजातियों की समृद्धि के मामले में उनकी संख्या अन्य जीव समूहों से ज़्यादा है।",0.4444444444444444,0.29488391230979427
Mithali To Anchor Indian Team Against Australia in ODIs,['भारत की भारतीय टीम ओडीआई में आस्ट्रेलिया के खिलाफ शामिल हो रही है।'],आस्ट्रेलिया के खिलाफ वनडे टीम की कमान मिताली को,0.474468085106383,0.25318484177091666
"After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","['8 सितंबर, 2016 को माननीय राष्ट्रपति के अनुमोदन के बाद 101वें संविधान संशोधन अधिनियम, 2016 अस्तित्व में आया।']","8 सितम्‍बर, 2016 को माननीय राष्‍ट्रपति की स्‍वीकृति मिलने के बाद 101वां संविधान संशोधन अधिनियम, 2016 अस्तित्‍व में आया",0.6043147136264544,0.43932284089105766
The court has fixed a hearing for February 12,['अदालत ने 12 फरवरी को सुनवाई तय की है।'],अदालत ने इस मामले में आगे की सुनवाई के लिए एक फरवरी की तारीख़ तय की,0.3340595497458243,0.1875598072576186
Please select the position where the track should be split.,['कृपया स्थान चुनें जहाँ ट्रैक विभाजित किया जाना चाहिए.'],"जहाँ पर ट्रैक को विभाजित किया जाना है, कृपया वह स्थान चुनें.",0.5637254901960784,0.31596060906157203
"As per police, armys 22RR, special operation Group (SOG) of police and the Central Reserve Police Force (CRPF) cordoned the village and launched search operation in the area.","['पुलिस के अनुसार सेना 22आरआर, पुलिस की विशेष कार्य समूह (एसओजी) और केंद्रीय रिजर्व पुलिस बल (सीआरपीएफ) ने गांव को घेर लिया और उस क्षेत्र में तलाशी अभियान आरंभ किया।']","इसके तुरंत बाद सेना की 22 राष्ट्रीय राइफल्स (आरआर), सीआरपीएफ और पुलिस के स्पेशल ऑपरेशन ग्रुप (एसओजी) के जवानों द्वारा इलाके की घेराबंदी कर तलाशी अभियान चलाया।",0.25991975737663486,0.1356127007241621
Jharkhand chief minister Hemant Soren,['झारखंड के मुख्यमंत्री हेमानत सोरेन'],झारखंड के मुख्यमंत्री हेमंत सोरेन (फोटोः पीटीआई),0.436046511627907,0.4239476213483084
"Arvind Kumar, SHO of the sector 55/56 police station, said a case has been registered under section 376-D (gang rape) of the Indian Penal Code.",['भारतीय दंड संहिता की धारा 376-घ (गांग बलात्कार) के तहत एक मुकदमा पंजीकृत किया गया है।'],सेक्टर 55/56 के एसएचओ अरविंद कुमार ने बताया कि इस मामले में आईपीसी की धारा 376-डी (गैंगरेप) के तहत मामला दर्ज कर लिया गया है।,0.28735632183908044,0.15604145299206948
