Source,Prediction,Target,Meteor Score,Bleu Score
['আন ্ তর ্ জাতিক সভ ্ যন ্ ত ্ রাসঙ ্ গিক অর ্ থান ব ্ যবস ্ থা বিশ ্ লেষণ করে এবং শ ্ রেণীষ ্ ট করে ।'],['It analyzed and ranked the international socioeconomic system.'],The International Civil Aviation Organisation evaluates and ranks airport security systems.,0.03759398496240601,2.5581897658231897e-155
['ওগুলো নিয়ন ্ ত ্ রণ কর ্ মক ্ ষেত ্ র ব ্ যবহার করে আপনার হাতের উপরে সরিয ় ে ফেলা যায় ।'],"['So, it uses a control agent to wipe it off on your hand.']",They can be deactivated using the control panel on your arm.,0.04000000000000001,2.925401917493371e-155
['তিনি জন ্ মগ ্ রিটিশ ইন ্ ডিয়ায় (বর ্ তমান ব ্ যাঙ ্ গেড ় ার ডাকা மாவட்டம்) ডাকা দ ্ বারা দ ্ বীপে অবস ্ থিত ulail এ ।'],"[""He's in ulail, the island of Dhaka in northern India.""]",He was born at Ulail in Dhaka district of Bengal province in British India (now Dhaka District of Bangladesh).,0.04830917874396135,0
['এট ্ র গিলাটোলা যন ্ ত ্ র'],"[""Here's a gun that went off. It went off.""]",Atra Gilatola Union,0.0,0
['সে পাঁচজন মেয ় েদের বাবা ।'],"[""He's the father of five daughters.""]",He is the father of five daughters.,0.11627906976744187,5.637975647982813e-155
['সেও ফিরে আসতে চায়না ।'],"[""He doesn't want to come back.""]",She too does not want to go back.,0.0847457627118644,5.4617059812245815e-155
"['"""""" তাহলে আমাকে বলুন, আমরা কি পেয়েছি আমরা যা খুঁজছিলাম?""""']","['""So tell me, what did we find that we were looking for?""']","""""""So tell me, have we found what we were looking for?""""""",0.3835051546391753,8.170202920075766e-155
['আমাদেরকে ভয ় পাওয ় ার কিছু নেই ।'],"[""We don't have to be afraid.""]",There is nothing to be scared of.,0.0925925925925926,4.972227154133551e-155
['চারজনকে গ ্ রেপ ্ তার করা হয ় ।'],['Four were arrested.'],Four people have been arrested.,0.078125,4.717068855239749e-155
['এরকমই ইউরোপিয়ান সংস ্ কৃতি ।'],['And this is the way European culture works.'],So is the European Union.,0.0,0
