Source,Target,Prediction,Meteor,Bleu
['আন ্ তর ্ জাতিক সভ ্ যন ্ ত ্ রাসঙ ্ গিক অর ্ থান ব ্ যবস ্ থা বিশ ্ লেষণ করে এবং শ ্ রেণীষ ্ ট করে ।'],The International Civil Aviation Organisation evaluates and ranks airport security systems.,[Means: Anna Deshmukh Sabha Yantra Rasang Radhik Aur Tha Thalaivastha Bhootah Bhootah Bhootah Bhootah Bhootah Bhootah],0.0,0
['ওগুলো নিয়ন ্ ত ্ রণ কর ্ মক ্ ষেত ্ র ব ্ যবহার করে আপনার হাতের উপরে সরিয ় ে ফেলা যায় ।'],They can be deactivated using the control panel on your arm.,[Means can be taken out of your pockets with the help of knee implants],0.2545362903225807,0.14824986333222023
['তিনি জন ্ মগ ্ রিটিশ ইন ্ ডিয়ায় (বর ্ তমান ব ্ যাঙ ্ গেড ় ার ডাকা மாவட்டம்) ডাকা দ ্ বারা দ ্ বীপে অবস ্ থিত ulail এ ।'],He was born at Ulail in Dhaka district of Bengal province in British India (now Dhaka District of Bangladesh).,[He is in Jansti in diadia (District of district which is situated near Dhaula Kuan)],0.18433179723502302,0.033427853213978585
['এট ্ র গিলাটোলা যন ্ ত ্ র'],Atra Gilatola Union,[At the Gilotala Yantra],0.0,0
['সে পাঁচজন মেয ় েদের বাবা ।'],He is the father of five daughters.,[Party five Mayors' বাবা.],0.125,0.043120969391201254
['সেও ফিরে আসতে চায়না ।'],She too does not want to go back.,[I do not want to return.],0.41666666666666663,0.32044254369000136
"['"""""" তাহলে আমাকে বলুন, আমরা কি পেয়েছি আমরা যা খুঁজছিলাম?""""']","""""""So tell me, have we found what we were looking for?""""""","[Means: Tell me, what are we getting, what are we looking for.]",0.36416487033770983,0.06154574548966637
['আমাদেরকে ভয ় পাওয ় ার কিছু নেই ।'],There is nothing to be scared of.,[We need to be careful],0.2373417721518987,0.21197381067415422
['চারজনকে গ ্ রেপ ্ তার করা হয ় ।'],Four people have been arrested.,"[For more details, please contact Dr.",0.07936507936507937,0
['এরকমই ইউরোপিয়ান সংস ্ কৃতি ।'],So is the European Union.,[Issues of European insights],0.08333333333333333,0.07109445944848267
"['সুতরাং, বাইবেলের এই কাব ্ দ-সঙ ্ গে সম ্ পর ্ কিত বোঝাপড়ার ক ্ ষেত ্ রেই প ্ রভাব পড়ে ।']","Hence, the very understanding of the consonantal Biblical text was endangered.","[Means: Sutraang, this is the term of Bibligation, this is the term of negotiation, this is the term.",0.1773049645390071,0.03131121455425748
['ভারতে বিলিয়নের সংখ ্ যা বিশ ্ বে সবথেকে চতুর ্ থ ।'],India has the fourth-highest number of billionaires globally.,This is more than a billion subscribers in India.,0.10989010989010987,0
['Krymchak বর ্ ণনাদের গবেষণায় প ্ রশ ্ বাস করা যায় যে তাদের গোষ ্ ঠী শ ্ লথগতভাবে গড ় ে ওঠে এবং ভিন ্ ন ভিন ্ ন প ্ রভাবের শক ্ তি দিয়ে গঠিত ছিল ।'],The study of Krymchak surnames affirms that their community formed slowly and was composed from elements of different origins.,[Krymchak Barannas research found that their cows were totally inactive and were reproduced with different vegetation],0.1878787878787879,0.10702719894112371
['ব ্ রীজ বন ্ ধ করুন ।'],Lock down the bridge.,"[For more details, please click here.]",0.09090909090909091,0
['আমি স ্ ক ্ রিপ ্ টটা খুবই ভালোবাসতাম ।'],I liked the script a lot.,[I love Swimming.],0.14492753623188406,0
['সেকে প ্ রথমে কথা বলার অনুমতি দেয়া হয়নি ।'],He wasn't allowed to speak first.,[I am not allowed to speak in Pakhwada.],0.4518072289156627,0.32732683535398854
['সাফরন-আচ ্ ছন ্ ন Mundus কুখ ্ যাত kaavi munde'],Saffron-coloured mundus are known as kaavi munde,[Safarn-Auch Khichh Khichh Khichh kaavi munde'],0.2604166666666667,0.04887164517296948
['প ্ রথম ছবিটা ।'],First picture.,[The page of the movie is attached.],0.13513513513513514,0
"['"""""" তখনই আমরা বিজ ্ ঞানের ক ্ ষেত ্ রে অন ্ যতম সেরা হয়ে উঠতে পারি এবং বিশ ্ বে অনুশীলন করিনা । """"""']","""""""It is only then that we can be amongst the best in the world and not followers, in science.""""""",Then we will be able to achieve the noble destiny of Vijnana Ji and also the best in the world.,0.2818181818181818,0.23508117299081357
"['""""অভিজ ্ ঞানী,\'শিকার\'"" মানে আপনি কি?""']","""Doctor, what did you mean by """"hunting""""?""","[Means: Abhijit Banerjee, Mann Ki Baat'",0.06896551724137931,0
['ভারতের ক ্ ষেত ্ রে နယူးဇီলনকে অবস ্ থান করছে ३९ runs করে আর ৬টি বেক ্ ষর মধে ্ য আছে ।'],India still trail New Zealand by 39 runs with six wickets in hand.,[India's total bowling performance was 399 runs and 6 beds were in position.],0.17482517482517484,0.03580574370197164
['এটার ভিতরে কিছুই শোনা উচিত না ।'],Nothing should be read into it.,[Means: nothing inside it.],0.3599374021909233,0
