Source,Target,Prediction,Rouge1,Rouge2,RougeL,RougeLsum,Precision,Recall,F1
"অঞ্জন শইকীয়া, ছতিয়াঃ যোৱা ২২ এপ্রিৰপৰা ২৪ এপ্ৰিল তাৰিখলৈকে লোকনায়ক অমিয় কুমাৰ দাস মহাবিদ্যালয়ত অনুষ্ঠিত হোৱা গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয়ে সৰ্বাধিক ২০ টা পুৰস্কাৰৰ খিতাপেৰে শ্ৰেষ্ঠ মহাবিদ্যালয়ৰ খিতাপ লাভ কৰে।",গুৱাহাটী বিশ্ববিদ্যালয়ৰ পূব মাণ্ডলিক আন্তঃমহাবিদ্যালয় যুৱ মহোৎসৱত বিশ্বনাথ মহাবিদ্যালয় শ্ৰেষ্ঠ, অমিয় কুমাৰ দাস মহাবিদ্যালয়</s>,0.0,0.0,0.0,0.0,[0.7339298129081726],[0.7151613235473633],[0.7244240045547485]
উজ এ.এছ.এন. প্ৰতিনিধি 23 / 2018 সন্মিলিত গণশক্তি চেৰপাই পঞ্চায়ত সমিতিৰ উদ্যোগত বিভিন্ন দল সংগঠনৰ সহযোগত আজি নামনি চেৰপাই-দেবোত্তৰ গাওঁ সংযোগী পথৰ কদৰ্য অৱস্হা দূৰ কৰাৰ উদ্দেশ্য শ্ৰমদানৰ কাৰ্যসূচী ৰূপায়ণ কৰা হয়।,"নামনি চেৰপাই দেবোত্তৰ সংযোগী পথৰ কদৰ্য ৰূপ, গণশক্তিৰ শ্ৰমদান কাৰ্যসূচী",উজ এ.এছ.এন. প্ৰতিনিধি 23 / 2018 সন্মিলিত গণশক্তি চেৰপাই পঞ্চায়ত সমিতিৰ উদ্যোগত বিভিন্ন দল সংগঠনৰ সহযোগত আজি নামনি চেৰপাই-দেবোত্তৰ গাওঁ সংযোগী পথৰ কদৰ্য অৱস্হা দূৰ কৰাৰ উদ্দেশ্য শ্ৰমদানৰ কাৰ্যসূচী ৰূপায়ণ কৰা হয়।</s>,0.2857142857142857,0.09999999999999999,0.23809523809523808,0.23809523809523808,[0.6995114684104919],[0.8242852091789246],[0.7567899227142334]
চামগুৰিঃ নগাঁও জিলাৰ চামগুৰিত সোমবাৰে এটি যোগা প্ৰশিক্ষন কেন্দ্ৰ মুকলি কৰা হয়৷ চামগুৰিত যোগ প্ৰেৰণা-দ্যা যোগা চেন্টাৰ নামৰ যোগ প্ৰশিক্ষণটো কেন্দ্ৰটো উদ্বোধন কৰে কলিয়াবৰ জিলা বিজেপিৰ সভাপতি অনিল শইকীয়াই৷ প্ৰাক্তন সাংবাদিক তথা যোগ প্ৰশিক্ষক ৰেখামনি দাসে আঁত ধৰা উদ্বোধনী অনুষ্ঠানটোৰ মুকলি সভাত সভাপতিত্ব কৰে অসম যোগ সন্থাৰ সভাপতি প্ৰভাত চন্দ্ৰ বৰাই।,চামগুৰিত যোগা কেন্দ্ৰ মুকলি, অসম যোগসেনা নেতা অনিল শইকীয়াই যোগসেনা সম্মেলন</s>,0.0,0.0,0.0,0.0,[0.6079390048980713],[0.6426669955253601],[0.6248207688331604]
বঢ়মপুৰঃ অংগনৱাড়ী কৰ্মী-সহায়িকাই আজি বিভিন্ন দাবীৰ সমৰ্থনত উত্তাল প্ৰতিবাদ সাব্যস্ত কৰে চামগুৰিত।,চামগুৰিত অংগনৱাড়ী কৰ্মী-সহায়িকাৰ প্ৰতিবাদ, বঢ়মপুৰ: অংগনৱাড়ী কৰ্মী-সহায়িকাই আজি বিভিন্ন দাবীৰ সমৰ্থনত উত্তাল প্ৰতিবাদ সাব্যস্ত কৰে চামগুৰিত।</s>,0.25,0.0,0.25,0.25,[0.7643985152244568],[0.8893275260925293],[0.8221441507339478]
গল্প 3 নতুন আইন - কমল তালুকদাৰ কাউৰীয়ে কা নকৰোঁতে পানীৰামে আজি শোৱাপাটী এৰিছে।,নতুন আইন - কমল তালুকদাৰ - ফটাঢোল, গল্প 3 নতুন আইন - কমল তালুকদাৰ কাউৰীয়ে কা নকৰোঁতে পানীৰামে আজি শোৱাপাটী এৰিছে।</s>,0.4761904761904762,0.42105263157894735,0.4761904761904762,0.4761904761904762,[0.6661509871482849],[0.7980655431747437],[0.7261660099029541]
ডিব্ৰুগড়ঃ টাই আহোম যুৱ পৰিষদৰ ২২সংখ্যাক কেন্দ্ৰীয় প্ৰতিষ্ঠা দিৱস আজি ডিব্ৰুগড় সাহিত্য সভা ভৱনত অনুষ্ঠিত হয়।,ডিব্ৰুগড়ত টাই আহোম যুৱ পৰিষদৰ প্ৰতিষ্ঠা দিৱস,</s>,0.0,0.0,0.0,0.0,[0.5172652006149292],[0.49161022901535034],[0.5041115880012512]
"গোৰেশ্বৰঃ জাতি জনগোষ্ঠীৰ মিলনভূমি বিটিএডিত বহু ভাষা-ভাষী, সম্প্ৰদায়-বৰ্ণৰ লোক আছে।",৪টা পকী পথ নিৰ্মাণৰ শুভাৰম্ভ কৰিলে গনেশ কছাৰীয়ে,</s>,0.0,0.0,0.0,0.0,[0.5400583744049072],[0.5233072638511658],[0.5315508246421814]
"সোমবাৰে বিজেপিৰ ৰাজ্যিক সভাপতি ৰঞ্জিত দাসে এক সংবাদমেল আয়োজন কৰে ৷সংবাদমেলত লৈ স্থিতি স্পষ্ট বিজেপিৰ 'অসম চুক্তি ভাৰতৰ আত্মা',অসম চুক্তিৰ পিছতো অসমত অবাধ হাৰত অনুপ্ৰৱেশ ঘাটি আছিল,দ্বিতীয় খচৰাৰ পিছতো বহু ভাৰতীয়ৰ নাম বাদ পৰিছে,৫খন নথি বাতিলৰ বাবে দিয়া শপতনামা দুৰ্ভাগ্যজনক' ৰাইজক অন্ধকাৰত ৰাখি ৰাজ্যিক সমন্বয়ক প্ৰতীক হাজেলাই শপতনামা দাখিল কৰিছে,এই কথাই বিভ্ৰান্তিৰ সৃষ্টি কৰিছে ।",ৰাজ্যিক বিজেপিৰ সভাপতি ৰঞ্জিত দাসৰ সংবাদমেল,বিজেপির রাজ্য সভাপতি ৰঞ্জিত দাসের সংবাদমেল</s>,0.3333333333333333,0.20000000000000004,0.3333333333333333,0.3333333333333333,[0.7834577560424805],[0.8110005855560303],[0.796991229057312]
"ষড়ানন বৰা, চামগুৰিঃ নগাঁও জিলাৰ পুৰণিগুদাম আৰক্ষী চকীৰ অন্তৰ্গত পুৰণিগুদামত বুধবাৰে দুপৰীয়া বিদ্যুৎস্পৃষ্ট হৈ এটি পশুধনৰ মৃত্যু হয়৷ জানিব পৰা মতে, পুৰণিগুদাম বিৰিঞ্চি কুমাৰ বৰুৱা মহাবিদ্যালয়ৰ সমীপত বিগত বহু দিন ধৰি উন্মুক্ত অৱস্থাত থকা এটা বৈদ্যুতিক ট্ৰেন্সফৰ্মাৰত বিদ্যুৎস্পৃষ্ট হৈ বিষয়াচুকৰ দণ্ডী শইকীয়াৰ গাভিনী গাইজনীৰ মৃত্যু হয়৷ ইয়াৰ পূৰ্বেও উক্ত স্থানত বিদ্যুৎস্পৃষ্ট হৈ এটা পশুধনৰ মৃত্যু হোৱাৰ লগতে এজন ব্যক্তিৰ কথমপি প্ৰাণ ৰক্ষা পৰিছিল।",পুৰণিগুদামত বিদ্যৎস্পৃষ্ট হৈ পশুধনৰ মৃত্যু," পুৰণিগুদাম আৰক্ষী চকীৰ অন্তৰ্গত পুৰণিগুদামত বুধবাৰে দুপৰীয়া বিদ্যুৎস্পৃষ্ট হৈ এটা পশুধনৰ মৃত্যু হয়৷ জানিব পৰা মতে, পুৰণিগুদাম বিৰিঞ্চি কুমাৰ বৰুৱা মহাবিদ্যালয়ৰ সমীপত বিগত বহু দিন ধরেই উন্মুক্ত অৱস্থাত থকা এটা বৈদ্যুতিক ট্ৰেন্সফৰ্মাৰত বিদ্যুৎস্পৃষ্ট হৈ বিষয়াচুকৰ দণ্ডী শইকীয়ার গাভিনী গাইজনীৰ মৃত্যু হয়৷</s>",0.1739130434782609,0.045454545454545456,0.1739130434782609,0.1739130434782609,[0.668198823928833],[0.7922261357307434],[0.7249459624290466]
জ এ.এছ.এন. প্ৰতিনিধি / 2019 ডিমৌৰ পৰা অভিজিত গগৈৰ প্ৰতিবেদন : ডিমৌস্থিত চৰকাৰী-বেচৰকাৰী বিদ্যালয়- মহাবিদ্যালয়সমূহত আজি ৫৮ সংখ্যক শিক্ষক দিৱস উদ্ যাপন কৰাৰ লগতে ৰাজমাও মধ্য ইংৰাজী বিদ্যালয়ত ব্যতিক্ৰমী ৰূপত শিক্ষক দিৱস উদযাপন কৰে।,ডিমৌত ৫৮ সংখ্যক শিক্ষক দিৱস উদযাপন, জ এ.এছ.এন. প্ৰতিনিধি</s>,0.0,0.0,0.0,0.0,[0.6017131805419922],[0.642835259437561],[0.6215948462486267]
